id,order,appid,game,character,protagonist_name,protagonist_role,protagonist_type,source_type,source_url,source_note,validation_status,known_status,internal_suggested_primary_archetype,internal_suggested_secondary_archetype,internal_suggested_archetype_confidence_0_1,internal_archetype_rationale,internal_archetype_source_url,total_ratings_pos_neg,bucket,batch,prompt,include_main_clean,exclude_reason,game_name,character_name,display_game,display_character,display_label,validation_prompt,name,title,description,game_included_for_display,needs_split_or_research,igdb_id,original_release_year,igdb_corpus_title,igdb_corpus_year
igdbpre90_1971_the-oregon-trail_wagon-leader-emigrant-party,301,,The Oregon Trail,Wagon leader / emigrant party,Wagon leader / emigrant party,frontier migration party managed through a hazardous journey west,systemic survival/travel role,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/the-oregon-trail,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Caregiver,0.75,The playable role is organized around travel into unknown territory and keeping the party alive.,https://www.igdb.com/games/the-oregon-trail,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Wagon leader / emigrant party in The Oregon Trail (1971)?,True,,The Oregon Trail,Wagon leader / emigrant party,The Oregon Trail (1971),Wagon leader / emigrant party,Wagon leader / emigrant party — The Oregon Trail (1971),Which archetypes best describe Wagon leader / emigrant party in The Oregon Trail (1971)?,Wagon leader / emigrant party,Wagon leader / emigrant party,The Oregon Trail (1971): frontier migration party managed through a hazardous journey west,True,False,11325,1971,The Oregon Trail,1971
igdbpre90_1976_colossal-cave-adventure_adventurer,302,,Colossal Cave Adventure,Adventurer,Adventurer,"unnamed explorer navigating caves, treasures, puzzles, and hazards",text-adventure player role,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/colossal-cave-adventure,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Sage,0.80,"The role is primarily exploratory, with puzzle interpretation as the secondary function.",https://www.igdb.com/games/colossal-cave-adventure,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Adventurer in Colossal Cave Adventure (1976)?,True,,Colossal Cave Adventure,Adventurer,Colossal Cave Adventure (1976),Adventurer,Adventurer — Colossal Cave Adventure (1976),Which archetypes best describe Adventurer in Colossal Cave Adventure (1976)?,Adventurer,Adventurer,"Colossal Cave Adventure (1976): unnamed explorer navigating caves, treasures, puzzles, and hazards",True,False,25115,1976,Colossal Cave Adventure,1976
igdbpre90_1977_zork_adventurer,303,,Zork,Adventurer,Adventurer,unnamed adventurer exploring the Great Underground Empire,text-adventure player role,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/zork,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Sage,0.80,"The player role is built around exploration, collection, mapping, and textual inference.",https://www.igdb.com/games/zork,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Adventurer in Zork (1977)?,True,,Zork,Adventurer,Zork (1977),Adventurer,Adventurer — Zork (1977),Which archetypes best describe Adventurer in Zork (1977)?,Adventurer,Adventurer,Zork (1977): unnamed adventurer exploring the Great Underground Empire,True,False,1944,1977,Zork,1977
igdbpre90_1980_rogue_rogue-adventurer,304,,Rogue,Rogue / Adventurer,Rogue / Adventurer,dungeon adventurer descending through a procedurally generated dungeon,roguelike player role,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/rogue,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Hero,0.75,"The protagonist is mostly systemic, but the core action is dangerous descent and survival.",https://www.igdb.com/games/rogue,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Rogue / Adventurer in Rogue (1980)?,True,,Rogue,Rogue / Adventurer,Rogue (1980),Rogue / Adventurer,Rogue / Adventurer — Rogue (1980),Which archetypes best describe Rogue / Adventurer in Rogue (1980)?,Rogue / Adventurer,Rogue / Adventurer,Rogue (1980): dungeon adventurer descending through a procedurally generated dungeon,True,False,2872,1980,Rogue,1980
igdbpre90_1980_pac-man_pac-man,305,,Pac-Man,Pac-Man,Pac-Man,maze mascot eating pellets while avoiding and sometimes consuming ghosts,fixed arcade mascot protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/pac-man,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Jester,Everyman,0.70,"Pac-Man is a comic appetite-driven mascot; the role is simple, relatable, and non-heroic.",https://www.igdb.com/games/pac-man,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Pac-Man in Pac-Man (1980)?,True,,Pac-Man,Pac-Man,Pac-Man (1980),Pac-Man,Pac-Man — Pac-Man (1980),Which archetypes best describe Pac-Man in Pac-Man (1980)?,Pac-Man,Pac-Man,Pac-Man (1980): maze mascot eating pellets while avoiding and sometimes consuming ghosts,True,False,2750,1980,Pac-Man,1980
igdbpre90_1981_donkey-kong_jumpman-mario,306,,Donkey Kong,Jumpman / Mario,Jumpman / Mario,construction-site rescuer climbing to save Pauline from Donkey Kong,fixed early platform protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/donkey-kong,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Hero,Lover,0.85,"The character is a direct rescuer, with romantic rescue as the motivating frame.",https://www.igdb.com/games/donkey-kong,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Jumpman / Mario in Donkey Kong (1981)?,True,,Donkey Kong,Jumpman / Mario,Donkey Kong (1981),Jumpman / Mario,Jumpman / Mario — Donkey Kong (1981),Which archetypes best describe Jumpman / Mario in Donkey Kong (1981)?,Jumpman / Mario,Jumpman / Mario,Donkey Kong (1981): construction-site rescuer climbing to save Pauline from Donkey Kong,True,False,1086,1981,Donkey Kong,1981
igdbpre90_1981_frogger_frogger,307,,Frogger,Frogger,Frogger,frog repeatedly crossing traffic and rivers to reach home,fixed arcade animal protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/frogger,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Everyman,Explorer,0.65,The role is simple survival and passage rather than conquest; movement across danger adds Explorer.,https://www.igdb.com/games/frogger,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Frogger in Frogger (1981)?,True,,Frogger,Frogger,Frogger (1981),Frogger,Frogger — Frogger (1981),Which archetypes best describe Frogger in Frogger (1981)?,Frogger,Frogger,Frogger (1981): frog repeatedly crossing traffic and rivers to reach home,True,False,6795,1981,Frogger,1981
igdbpre90_1981_ultima_the-stranger-player-hero,308,,Ultima,The Stranger / player hero,The Stranger / player hero,custom fantasy hero travelling Sosaria to defeat Mondain,custom CRPG protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/ultima,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation. Display character normalized to The Stranger / player hero; early Ultima uses a player-created hero rather than a strongly characterized protagonist.,not_validated,named_or_defined_protagonist,Explorer,Hero,0.75,The early Ultima role combines open-world exploration with heroic fantasy crisis response.,https://www.igdb.com/games/ultima,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe The Stranger / player hero in Ultima (1981)?,True,,Ultima,The Stranger / player hero,Ultima (1981),The Stranger / player hero,The Stranger / player hero — Ultima (1981),Which archetypes best describe The Stranger / player hero in Ultima (1981)?,The Stranger / player hero,The Stranger / player hero,Ultima (1981): custom fantasy hero travelling Sosaria to defeat Mondain,True,False,7414,1981,Ultima,1981
igdbpre90_1981_wizardry-proving-grounds-of-the-mad-overlord_party-of-adventurers,309,,Wizardry: Proving Grounds of the Mad Overlord,Party of adventurers,Party of adventurers,custom dungeon-crawling party entering the maze beneath Trebor’s castle,custom party RPG role,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/wizardry-proving-grounds-of-the-mad-overlord,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Explorer,Hero,0.70,"The party is player-authored, but its function is exploration and heroic combat in a dungeon.",https://www.igdb.com/games/wizardry-proving-grounds-of-the-mad-overlord,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Party of adventurers in Wizardry: Proving Grounds of the Mad Overlord (1981)?,True,,Wizardry: Proving Grounds of the Mad Overlord,Party of adventurers,Wizardry: Proving Grounds of the Mad Overlord (1981),Party of adventurers,Party of adventurers — Wizardry: Proving Grounds of the Mad Overlord (1981),Which archetypes best describe Party of adventurers in Wizardry: Proving Grounds of the Mad Overlord (1981)?,Party of adventurers,Party of adventurers,Wizardry: Proving Grounds of the Mad Overlord (1981): custom dungeon-crawling party entering the maze beneath Trebor’s castle,True,False,2863,1981,Wizardry: Proving Grounds of the Mad Overlord,1981
igdbpre90_1982_ms-pac-man_ms-pac-man,310,,Ms. Pac-Man,Ms. Pac-Man,Ms. Pac-Man,maze-chase mascot heroine pursued by ghosts,fixed arcade mascot protagonist,IGDB-derived second corpus + manual character-level curation,https://www.igdb.com/games/ms-pac-man,Batch 10: manually curated pre-1990 key protagonists and defined player roles from the second IGDB-derived corpus. Suggested archetypes are pre-annotations only; final labels should come from validation.,not_validated,named_or_defined_protagonist,Jester,Explorer,0.70,"The character is a playful mascot whose agency is expressed through chase, evasion, and route selection.",https://www.igdb.com/games/ms-pac-man,,igdb_pre1990_key_games,10_pre1990_63,Which archetypes best describe Ms. Pac-Man in Ms. Pac-Man (1982)?,True,,Ms. Pac-Man,Ms. Pac-Man,Ms. Pac-Man (1982),Ms. Pac-Man,Ms. Pac-Man — Ms. Pac-Man (1982),Which archetypes best describe Ms. Pac-Man in Ms. Pac-Man (1982)?,Ms. Pac-Man,Ms. Pac-Man,Ms. Pac-Man (1982): maze-chase mascot heroine pursued by ghosts,True,False,7452,1982,Ms. Pac-Man,1982
