archetype,raw_1980_1984_percent,raw_2020_2024_percent,change_percentage_points
Innocent,0.6892230576441101,1.687684343586348,0.9984612859422379
Everyman/Orphan,5.419799498746867,10.506230060795762,5.0864305620488945
Hero/Warrior,40.472274436090224,22.16983687473665,-18.302437561353575
Caregiver/Guardian,3.943452380952381,2.9615361463913805,-0.9819162345610004
Explorer/Seeker,21.67919799498747,31.60988382591946,9.930685830931992
Rebel/Outlaw,1.6251566416040095,3.989797146812737,2.3646405052087274
Lover,0.7518796992481201,3.9196713417203393,3.1677916424722192
Creator/Artist,4.209743107769423,3.872419189791127,-0.3373239179782961
Jester/Trickster,0.4346804511278194,2.7756877144404983,2.341007263312679
Sage/Investigator,9.351503759398494,7.238457834226207,-2.113045925172287
Magician/Transformer,6.551535087719297,4.911966532233793,-1.6395685554855044
Ruler/Leader,4.871553884711778,4.356828989345693,-0.5147248953660855
