part_no,custom_id,appid,name,model,chunk_request_number,chunk_size
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2851620,From Eva with Green,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2856040,Zink,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2858860,The Witch,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2859940,Nuclear Cheetah,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2866800,Mental State. Game One,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2869320,Soul Wizards & Roguelite,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2876860,Emberdrift,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2881090,Womb Defense Force,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2892830,Fantasy Town,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2897730,Mycelium,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2902550,交织的印记,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2916360,Plastic Trick,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2917480,۩ Tomb of the Brave ۩,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2918570,RISKY CHRONICLES and the curse of destiny,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2920120,Radiant Exodus,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2920720,Idle Battle RPG,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2921960,PROJECT : DEBUG,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2923430,Multiplayer Spiders,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2927290,The Adventures of Lily & Leo,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2927590,Project Starcrash,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2935160,Love Undying: A Kiss Before Dawn,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2937440,Rival Stars Horse Racing: VR Edition,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2941750,Djinn - The Forbidden Knowledge,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2944940,Snail's Knock Out!,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2948460,The Echoes of Mars,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2949810,Head To Hell 黄泉旅客,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2954000,SuperSuperMarket!,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2960540,PeakPals,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2960700,Beyond the Chiron Gate,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2961920,Androsystem Idle,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2965940,Soviet Anomaly 7,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2969020,MyLittlePool,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2971390,Roll Five,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2980280,Apples Busy Day,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2984780,Unclogged,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2996850,The Neighbor - Escape Room,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,2999770,Flying Tobacco Eggs,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,3000520,Satan Moans,gpt-5.4-mini,1,50
10,steam-v006-rest54mini-part_010-chunk-0001-ranks-46001-46050,3019030,Survivor in the Forest 2,gpt-5.4-mini,1,50
