part_no,custom_id,appid,name,model,chunk_request_number,chunk_size
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1155660,The Deed II,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1164750,Hospitality VR,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1170940,Outerstellar,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1196440,Potion Party,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1234260,Deadly Land,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1252240,Aeon Drive,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1314590,X-Fitness,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1359900,Gone Golfing,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1367040,Kingdom of Wreck Business,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1382190,Killer in the cabin,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1386790,Gordian Rooms: A curious heritage Prologue,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1388130,Religion inc.,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1395310,World of Soccer RELOADED,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1441570,Cubiscape 2,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1486140,Microcosmum 2,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1501490,Ship Handling Simulator,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1586860,Bonesaw,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1627310,Ralph and the Blue Ball,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,1644280,The Jewel of Monostructure,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,2120250,War Tortoise,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,2161450,Sorry We're Open,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,2503950,ION Shift,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,2530170,PERIMETER: Legate Edition,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,2569170,Widow in the Endless Labyrinth,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,2576460,Angelstruck,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,2736210,A fascinating story : Wedding Night,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,2851770,Purgatory -NARAKU-,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,3076400,Tech Store Simulator,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,3422450,Whisker Wanderlust: The Mosaic of Souls,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,3553110,Poop Killer - Flush or Die,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,8210,Sam & Max 102: Situation: Comedy,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,215770,Shad'O,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,278490,Aveyond 3-2: Gates of Night,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,289380,Konung 3: Ties of the Dynasty,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,293600,Arson and Plunder: Unleashed,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,320650,Season Match 2,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,331460,ROOMS: The Toymaker's Mansion,gpt-5.4-mini,1,50
5,steam-v006-rest54mini-part_005-chunk-0001-ranks-21001-21050,339860,none,gpt-5.4-mini,1,50
