part_no,custom_id,appid,name,model,chunk_request_number,chunk_size
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,349510,Hanako: Honor & Blade,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,355070,TDP5 Arena 3D,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,368450,Rememoried,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,370550,Sparkle 2,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,410570,Gunjack,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,431280,tiny & Tall: Gleipnir,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,450440,Creepy Castle,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,485400,Mechajammer,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,513360,Mu Cartographer,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,523640,The Works of Mercy,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,545580,"GO AWAY, THERE'S KUMIS OVER THERE!",gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,600630,Spaceship Looter,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,626600,Lost Dimension,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,654610,Mr. Dubstep,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,659500,A Mining Game,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,861400,Nefertari: Journey to Eternity,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,889710,Muv-Luv photonmelodies♮,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,934850,Cyberdrome,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,990360,SKYHILL: Black Mist,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,1206410,Kristala,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,1524250,Survivor Dieland,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,1684670,Best Forklift Operator,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,2180550,Dragon Princess is Hungry,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,2273570,Speed Dates,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,2512090,The Political Machine 2024,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,3147900,Meddl Dash,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,3194550,Bao Bao's Cozy Laundromat,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,223450,Dyad,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,252430,Dusty Revenge:Co-Op Edition,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,377150,Tactical Genius Online,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,391160,The Deletion,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,395560,Lost Horizon 2,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,423900,Dinocide,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,448630,Rabiez: Epidemic,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,450170,BOOR,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,458600,ZRoll,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,468930,Phantaruk,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,555290,Little Briar Rose,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,579720,Neverout,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,666100,Shooty Fruity,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,697630,WARMA,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,729530,Legends of Talia: Arcadia,gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,741500,"John, The Zombie",gpt-5.4-mini,1,50
4,steam-v006-rest54mini-part_004-chunk-0001-ranks-16001-16050,785660,Subway Simulator,gpt-5.4-mini,1,50
