part_no,custom_id,appid,name,model,chunk_request_number,chunk_size
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,2456740,inZOI,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,350080,Wolfenstein: The Old Blood,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,1401590,Disney Dreamlight Valley,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,1388770,Cruelty Squad,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,813230,ANIMAL WELL,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,991780,Notes of Soul,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,2384580,DYNASTY WARRIORS: ORIGINS,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,1789480,Marauders,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,283640,Salt and Sanctuary,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,394690,Tower Unite,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,1182900,A Plague Tale: Requiem,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,2239150,Thronefall,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,445980,Wizard of Legend,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,996580,Spyro Reignited Trilogy,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,1458140,Pacific Drive,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,418530,Spelunky 2,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,756800,Contraband Police,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,9480,Saints Row 2,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,1161580,Hardspace: Shipbreaker,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,1096530,Solasta: Crown of the Magister,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,1307550,Craftopia,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,2334730,Death Must Die,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,372000,Tree of Savior (English Ver.),gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,1549180,Propnight,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,590380,Into the Breach,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,2909400,FINAL FANTASY VII REBIRTH,gpt-5.4-mini,1,50
1,steam-v006-rest54mini-part_001-chunk-0001-ranks-1001-1050,9900,Star Trek Online,gpt-5.4-mini,1,50
